concept	concepticon_id	concept-Jap	exemplar-jap	exemplar-eng	jap_lemma	domain	freq_japweb2011	source	word_list	notes
ACRID (TASTE)	887	egui	このタケノコ、少しえぐいな。のどがいがいがする。	This bamboo shoot tastes a bit ACRID. My throat is prickling. 	えぐい		15718	sanada_2018	none	
PRICKLING	NA	igaiga	このタケノコ、少しえぐいな。のどがいがいがする。	This bamboo shoot tastes a bit acrid. My throat is PRICKLING. 	いがいが		3297	sanada_2018	none	
SOUR-1		suQpai	この蜜柑はすっぱいね。	This mandarin is really SOUR.	酸っぱい		33678	sanada_2018	none	
SOUR-2		syibui	この柿、少ししぶいね。	This persimmon is a little SOUR.	渋い		78227	sanada_2018	none	
HARD	1884	katai	このお弁当は固いなあ	This rice is HARD.	固い		458198	hirayama_1992	ABVD	
HEAVY	1210	omoi	この荷物はとても重いから、そちらの軽いのを持ってくれ	This suitcase is really HEAVY so please take this light one for me.	重い		665770	sanada_2018	ABVD; S200	
LIGHT	1052	karui	この荷物はとても重いから、そちらの軽いのを持ってくれ	This suitcase is really heavy so please take this LIGHT one for me.	軽い		918023	sanada_2018	none	
SOFT		yawarakai	この豆腐はやわらかい	This tofu is SOFT.	柔らかい		306821	sanada_2018	none	
THICK		futoi	この木は太い	This tree is THICK.	太い		234550	hirayama_1992	ABVD; S200	
COLD TO TOUCH-1	1287	kiNkiN	この水、きんきんにつめたいね。	This water is COLD.	きんきん		4549	sanada_2018	ABVD; S200	
COLD TO TOUCH-2	1287	tsumetai	この水、きんきんにつめたいね。	This water is COLD.	冷たい		312391	sanada_2018	ABVD; S200	
BLOW	176	fuku	火を吹く	To BLOW on a flame.	吹く		295152	hirayama_1992	ABVD; S200	
SPIT		haku	唾を吐く	To SPIT saliva.	吐く		393841	hirayama_1992	S200	
COLD (WEATHER)	2483	samui	今日はかなりさむい。体がぶるぶる震える。	Today is really COLD. I'm SHAKING.	寒い		725280	sanada_2018	ABVD; S200	
SHAKING		buruburu	今日はかなりさむい。体がぶるぶる震える。	Today is really COLD. I'm SHAKING.	ぶるぶる		34350	sanada_2018	none	
HUMID-1	143	musyimusyi	今日はむしあついなあ。むしむししているからエアコンいえて。	Today is really HUMID. Because it's so HUMID please turn on the air con.	むしむし		5369	sanada_2018	none	
SALTY	1091	syoQpai	今日の味噌汁、ちょっとうすいね。でも、あまりしょっぱいのはからだに悪いよ。	Today's miso soup was a bit weak, but SALTY things aren't good for your body.	しょっぱい		23304	sanada_2018	none	
WEAK-2		(syioazyi ga) usui	今日の味噌汁、ちょっとうすいね。でも、あまりしょっぱいのはからだに悪いよ。	Today's miso soup was a bit WEAK, but salty things aren't good for your body.	薄い		546098	sanada_2018	none	
SCARY-1	NA	kowai	おじさんが怖い。顔でにらんでいた。	Uncle is SCARY. He was glaring.	怖い		1198511	sanada_2015	ABVD; S200	
FAST	3365	hayai	歩くのが速い	Walking FAST	速い		153062	hirayama_1992	none	
SLOW-2		osoi	歩くのが遅い	Walking SLOW	遅い		680918	hirayama_1992	none	
SHABBY-1		boroboro	ぼろぼろの物を着て、まったくみすぼらしい。	Wearing SHABBY clothes, he's totally shabby.	ぼろぼろ		110039	sanada_2015	none	
SHABBY-2		misuborasyii	ぼろぼろの物を着て、まったくみすぼらしい。	Wearing shabby clothes, he's totally SHABBY.	見窄らしい		6472	sanada_2015	none	
ROLL	827	mawaru	車が回る	Wheels ROLL.	回る		814082	hirayama_1992	ABVD; S200	
SWEET		amai	砂糖を入れすぎて、あまったるい味になってしまった。私は甘いほうが好きだよ。	You added too much sugar and now the flavour is sickly sweet. I prefer just a little bit SWEET.	甘い		719186	sanada_2018	none	
